"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"UDG"	"Genotype_Ploidy"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6793048"	"PRJEB36854"	"ERR4057321"	"CH448"	"CH448"	"plus"	"haploid"	"ERS4520719"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-2-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057321/ERR4057321.fastq.gz"	2229829069	"d436820ead4cd80bad019a42c22e28fa"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057321/ERR4057321.fastq.gz"	39155740	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057321/CH448-A-EX3-UDG1-2-PCR1-Hi7.fastq.gz"
"SAMEA6793048"	"PRJEB36854"	"ERR4057322"	"CH448"	"CH448"	"plus"	"haploid"	"ERS4520719"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-35-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057322/ERR4057322.fastq.gz"	1706993084	"283a526b07126709831b7b8a130b79d0"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057322/ERR4057322.fastq.gz"	28891921	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057322/CH448-A-EX3-UDG1-35-PCR1-Hi7.fastq.gz"
"SAMEA6793048"	"PRJEB36854"	"ERR4057323"	"CH448"	"CH448"	"plus"	"haploid"	"ERS4520719"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A-EX3-UDG1-36-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057323/ERR4057323.fastq.gz"	1434806337	"92ebda00a908ec33728f5bd8f6157bef"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057323/ERR4057323.fastq.gz"	24265608	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057323/CH448-A-EX3-UDG1-36-PCR1-Hi7.fastq.gz"
"SAMEA6793049"	"PRJEB36854"	"ERR4057324"	"GNM1007"	"GNM1007"	"plus"	"haploid"	"ERS4520720"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"C-EX3-LIB1-39-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057324/ERR4057324.fastq.gz"	13827096	"bdd0f5ce544f788245add449f76723fb"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057324/ERR4057324.fastq.gz"	236664	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057324/GNM1007-C-EX3-LIB1-39-PCR1-Mi12.fastq.gz"
"SAMEA6793049"	"PRJEB36854"	"ERR4057325"	"GNM1007"	"GNM1007"	"plus"	"haploid"	"ERS4520720"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"C-EX3-UDG1-104-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057325/ERR4057325.fastq.gz"	934184431	"8340e1b521e8a163a156caff74f45cc7"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057325/ERR4057325.fastq.gz"	17586243	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057325/GNM1007-C-EX3-UDG1-104-PCR1-Hi11.fastq.gz"
"SAMEA6793049"	"PRJEB36854"	"ERR4057326"	"GNM1007"	"GNM1007"	"plus"	"haploid"	"ERS4520720"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"C-EX3-UDG1-57-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057326/ERR4057326.fastq.gz"	1605089186	"4f13f9b7011e59a7f6fa9730e6cbd4e4"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057326/ERR4057326.fastq.gz"	30757674	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057326/GNM1007-C-EX3-UDG1-57-PCR1-Hi15.fastq.gz"
"SAMEA6793049"	"PRJEB36854"	"ERR4057327"	"GNM1007"	"GNM1007"	"plus"	"haploid"	"ERS4520720"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"C-EX3-UDG1-58-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057327/ERR4057327.fastq.gz"	820006406	"d042d376a582fb17a1909c8f149be907"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057327/ERR4057327.fastq.gz"	13854283	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057327/GNM1007-C-EX3-UDG1-58-PCR1-Hi15.fastq.gz"
"SAMEA6793049"	"PRJEB36854"	"ERR4057328"	"GNM1007"	"GNM1007"	"plus"	"haploid"	"ERS4520720"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"C-EX3-UDG1-59-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057328/ERR4057328.fastq.gz"	1253547457	"5d064dfa88996657fd73c3940503d18f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057328/ERR4057328.fastq.gz"	24556651	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057328/GNM1007-C-EX3-UDG1-59-PCR1-Hi15.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057329"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-LIB1-38-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/009/ERR4057329/ERR4057329.fastq.gz"	16083613	"0c62fe846124ce86f1ccffac6a2bf195"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4057329/ERR4057329.fastq.gz"	264649	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057329/GNM1076-D-EX3-LIB1-38-PCR1-Mi12.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057330"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-105-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/000/ERR4057330/ERR4057330.fastq.gz"	650584361	"2932170ebbca6c2f9bade293859a9966"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4057330/ERR4057330.fastq.gz"	11270343	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057330/GNM1076-D-EX3-UDG1-105-PCR1-Hi11.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057331"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-85-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057331/ERR4057331.fastq.gz"	3233612944	"89d855e1645aed60f3c753a130992aef"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057331/ERR4057331.fastq.gz"	55754908	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057331/GNM1076-D-EX3-UDG1-85-PCR1-Hi15.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057332"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-86-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057332/ERR4057332.fastq.gz"	1999337757	"8fee3ae9da484e11710bf4dc8ff9859e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057332/ERR4057332.fastq.gz"	32982675	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057332/GNM1076-D-EX3-UDG1-86-PCR1-Hi15.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057333"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-87-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057333/ERR4057333.fastq.gz"	2080115651	"2ae172a91511864207ebb32f4225812d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057333/ERR4057333.fastq.gz"	36062041	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057333/GNM1076-D-EX3-UDG1-87-PCR1-Hi15.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057334"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-88-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057334/ERR4057334.fastq.gz"	2293192208	"4df03658d5c6c6396121a3c9c798317a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057334/ERR4057334.fastq.gz"	39208057	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057334/GNM1076-D-EX3-UDG1-88-PCR1-Hi15.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057335"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-89-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057335/ERR4057335.fastq.gz"	2688666786	"cd690d6d4e89596430e24314e3503a12"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057335/ERR4057335.fastq.gz"	41768059	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057335/GNM1076-D-EX3-UDG1-89-PCR1-Hi15.fastq.gz"
"SAMEA6793050"	"PRJEB36854"	"ERR4057336"	"GNM1076"	"GNM1076"	"plus"	"haploid"	"ERS4520721"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-90-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057336/ERR4057336.fastq.gz"	2730685820	"fccd0d3c2b311e8542bde0ca08439e42"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057336/ERR4057336.fastq.gz"	47254732	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057336/GNM1076-D-EX3-UDG1-90-PCR1-Hi15.fastq.gz"
"SAMEA6793051"	"PRJEB36854"	"ERR4057337"	"GNM1141"	"#N/A"	"plus"	"haploid"	"ERS4520722"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"B-EX3-LIB1-37-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057337/ERR4057337.fastq.gz"	59812	"b22e7fedc4ed3bc88d0e2f7c9c69e84d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057337/ERR4057337.fastq.gz"	1046	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057337/GNM1141-B-EX3-LIB1-37-PCR1-Mi12.fastq.gz"
"SAMEA6793052"	"PRJEB36854"	"ERR4057338"	"GNM1187"	"#N/A"	"plus"	"haploid"	"ERS4520723"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"C-EX3-UDG1-103-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057338/ERR4057338.fastq.gz"	93774759	"44730e5e8330ef84c2a3775657adc4ea"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057338/ERR4057338.fastq.gz"	1635231	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057338/GNM1187-C-EX3-UDG1-103-PCR1-Hi11.fastq.gz"
"SAMEA6793053"	"PRJEB36854"	"ERR4057339"	"GNM1217"	"#N/A"	"plus"	"haploid"	"ERS4520724"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"D-EX3-UDG1-102-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/009/ERR4057339/ERR4057339.fastq.gz"	821660539	"327e48ed3ca7f1f27ae5c152e1ebc140"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4057339/ERR4057339.fastq.gz"	14781114	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057339/GNM1217-D-EX3-UDG1-102-PCR1-Hi11.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057340"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina MiSeq"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-LIB1-24-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/000/ERR4057340/ERR4057340.fastq.gz"	12592152	"c1e20d3674ab066fbcbe4097f46c4745"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4057340/ERR4057340.fastq.gz"	253998	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057340/JP14-A2-EX3-LIB1-24-PCR1-Mi05.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057341"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-41-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057341/ERR4057341.fastq.gz"	2674443700	"d579f0f49688d23149c8436addfc348f"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057341/ERR4057341.fastq.gz"	34441687	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057341/JP14-A2-EX3-UDG1-41-PCR1-Hi4.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057342"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-42-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057342/ERR4057342.fastq.gz"	2655084527	"deb0d7bc2c264a92b747f53776b08607"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057342/ERR4057342.fastq.gz"	33887879	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057342/JP14-A2-EX3-UDG1-42-PCR1-Hi4.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057343"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-43-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057343/ERR4057343.fastq.gz"	3049002747	"0875b76e7a462990bb03169dac105bf2"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057343/ERR4057343.fastq.gz"	39326908	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057343/JP14-A2-EX3-UDG1-43-PCR1-Hi4.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057344"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-61-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057344/ERR4057344.fastq.gz"	4056899814	"9a4113b8e48cd2e7802d9ffea150331a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057344/ERR4057344.fastq.gz"	69311083	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057344/JP14-A2-EX3-UDG1-61-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057345"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-62-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057345/ERR4057345.fastq.gz"	3416077611	"a13b0dd388ec93316ffffa9b65213f95"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057345/ERR4057345.fastq.gz"	57143229	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057345/JP14-A2-EX3-UDG1-62-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057346"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-63-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057346/ERR4057346.fastq.gz"	3840054472	"33cbd6d6c6771570ef97638ff64fc41b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057346/ERR4057346.fastq.gz"	65625441	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057346/JP14-A2-EX3-UDG1-63-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057347"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-64-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057347/ERR4057347.fastq.gz"	2489532736	"81d3269ec749fba798a04ed5ef0fb807"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057347/ERR4057347.fastq.gz"	43948125	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057347/JP14-A2-EX3-UDG1-64-PCR1-Hi13-Lane07.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057348"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-65-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057348/ERR4057348.fastq.gz"	3045345025	"c222d2270c17772357933eafbd86b6ab"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057348/ERR4057348.fastq.gz"	51733973	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057348/JP14-A2-EX3-UDG1-65-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057349"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-66-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/009/ERR4057349/ERR4057349.fastq.gz"	3443661304	"076ca9fd85e44b40bef2d11a1b3cbab3"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4057349/ERR4057349.fastq.gz"	58127940	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057349/JP14-A2-EX3-UDG1-66-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057350"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-67-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/000/ERR4057350/ERR4057350.fastq.gz"	2694724586	"437b77086520ed86ce09b02ad3ebdcfc"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4057350/ERR4057350.fastq.gz"	44911823	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057350/JP14-A2-EX3-UDG1-67-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057351"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-06-16	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG1-68-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/001/ERR4057351/ERR4057351.fastq.gz"	3447842362	"51cc30e8a4d236c229cc915201f9eade"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4057351/ERR4057351.fastq.gz"	58842125	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057351/JP14-A2-EX3-UDG1-68-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057352"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-69-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/002/ERR4057352/ERR4057352.fastq.gz"	3073439327	"e07cb60e1f986b668ea285bfe458fe2c"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4057352/ERR4057352.fastq.gz"	52373500	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057352/JP14-A2-EX3-UDG2-69-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057353"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-70-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/003/ERR4057353/ERR4057353.fastq.gz"	2677194919	"a6f34008d9b730bf26ee37e2446faf86"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4057353/ERR4057353.fastq.gz"	45726767	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057353/JP14-A2-EX3-UDG2-70-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057354"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-71-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/004/ERR4057354/ERR4057354.fastq.gz"	4294930526	"6be97667fdf5eacd0800dc4f01ed8abb"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4057354/ERR4057354.fastq.gz"	73085129	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057354/JP14-A2-EX3-UDG2-71-PCR1-Hi12.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057355"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-72-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/005/ERR4057355/ERR4057355.fastq.gz"	2045267179	"3fe9d6ff2545a872b12263da037c2bac"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4057355/ERR4057355.fastq.gz"	36322536	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057355/JP14-A2-EX3-UDG2-72-PCR1-Hi13-Lane07.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057356"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-73-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/006/ERR4057356/ERR4057356.fastq.gz"	2085235726	"fd68aef48e6a7ec648e2a58bb5b0ac8b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4057356/ERR4057356.fastq.gz"	37451404	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057356/JP14-A2-EX3-UDG2-73-PCR1-Hi13-Lane07.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057357"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-74-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/007/ERR4057357/ERR4057357.fastq.gz"	2143096783	"cd850385b688d3516c510e1628294384"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4057357/ERR4057357.fastq.gz"	38663354	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057357/JP14-A2-EX3-UDG2-74-PCR1-Hi13-Lane07.fastq.gz"
"SAMEA6793054"	"PRJEB36854"	"ERR4057358"	"JP14"	"JP14"	"plus"	"haploid"	"ERS4520725"	2020-06-18	2020-04-23	"Illumina HiSeq 2500"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"A2-EX3-UDG2-75-PCR1"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR405/008/ERR4057358/ERR4057358.fastq.gz"	1476953938	"a7f91acf5209765ab7b010df86634c41"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4057358/ERR4057358.fastq.gz"	26509668	"ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4057358/JP14-A2-EX3-UDG2-75-PCR1-Hi13-Lane07.fastq.gz"
