sample_accession	study_accession	run_accession	sample_alias	secondary_sample_accession	first_public	last_updated	instrument_model	library_layout	library_source	instrument_platform	library_name	library_strategy	fastq_aspera	fastq_bytes	fastq_md5	fastq_ftp	read_count	submitted_ftp
SAMEA5382984	PRJEB31618	ERR3210431	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210431/ERR3210431_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210431/ERR3210431_2.fastq.gz	769773354;791801040	61717721bff1c2d6bbc22f4b9a137c19;88e042a5f77c2688c18ef9238c294a93	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210431/ERR3210431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210431/ERR3210431_2.fastq.gz	29971966	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210431/23169_2#9.cram
SAMEA5382976	PRJEB31618	ERR3210432	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210432/ERR3210432_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210432/ERR3210432_2.fastq.gz	606214755;635491182	20bf8c9a75a118f18d13ce60fd834e2b;29e2f5fd520314f416ec2008a4220d2c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210432/ERR3210432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210432/ERR3210432_2.fastq.gz	23629980	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210432/23170_1#1.cram
SAMEA5382977	PRJEB31618	ERR3210433	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210433/ERR3210433_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210433/ERR3210433_2.fastq.gz	739445488;776378003	a1be47e8a444fcd53d1905ffd55d0f9d;48f2c4979ac1c06cd999b075fcb685b6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210433/ERR3210433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210433/ERR3210433_2.fastq.gz	28415150	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210433/23170_1#2.cram
SAMEA5382978	PRJEB31618	ERR3210434	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210434/ERR3210434_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210434/ERR3210434_2.fastq.gz	787584062;815309229	f6a06afe2f60c350fa020fa0d5452724;37661d5df708e8cc23f2a97da48107d1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210434/ERR3210434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210434/ERR3210434_2.fastq.gz	30400870	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210434/23170_1#3.cram
SAMEA5382979	PRJEB31618	ERR3210435	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210435/ERR3210435_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210435/ERR3210435_2.fastq.gz	676350254;707610944	3b9d03b0a82d6e3dc4fed0453879da27;0f0aa46cf61e6d210254604eee720333	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210435/ERR3210435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210435/ERR3210435_2.fastq.gz	26116688	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210435/23170_1#4.cram
SAMEA5382980	PRJEB31618	ERR3210436	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210436/ERR3210436_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210436/ERR3210436_2.fastq.gz	470149074;490069364	3ce6602dcf6e05eccca84927b7c10833;0bba33bbac788bc8239b8c9d5af44b75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210436/ERR3210436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210436/ERR3210436_2.fastq.gz	18528142	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210436/23170_1#5.cram
SAMEA5382975	PRJEB31618	ERR3210437	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210437/ERR3210437_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210437/ERR3210437_2.fastq.gz	712010417;739839610	62a4fadbe0134b7948e12fbebf12e295;740bae96297f385593d3181f30be53ea	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210437/ERR3210437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210437/ERR3210437_2.fastq.gz	27627606	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210437/23170_1#7.cram
SAMEA5382982	PRJEB31618	ERR3210438	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210438/ERR3210438_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210438/ERR3210438_2.fastq.gz	574813652;590564019	17f161743710ea759c7fe389d19af645;31ff0724184ec647e08a12a18f02885b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210438/ERR3210438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210438/ERR3210438_2.fastq.gz	21724914	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210438/23170_1#8.cram
SAMEA5382984	PRJEB31618	ERR3210439	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210439/ERR3210439_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210439/ERR3210439_2.fastq.gz	752259881;772660639	f1694b8da616126d780b7c6e23cebad6;ee3ff23116f5580f17a891b190cc6c35	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210439/ERR3210439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210439/ERR3210439_2.fastq.gz	29524128	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210439/23170_1#9.cram
SAMEA5382976	PRJEB31618	ERR3210440	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210440/ERR3210440_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210440/ERR3210440_2.fastq.gz	611098530;642163512	74a426a1f355f2dec2fa42f15d3534f4;1787e11b7299b8c498b8948ff235845c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210440/ERR3210440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210440/ERR3210440_2.fastq.gz	23890244	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210440/23170_2#1.cram
SAMEA5382977	PRJEB31618	ERR3210441	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210441/ERR3210441_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210441/ERR3210441_2.fastq.gz	745755875;784681756	9fa4ec762da30ada610cc3b483db707a;b3301ed70b58bc4827c90d7a19454798	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210441/ERR3210441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210441/ERR3210441_2.fastq.gz	28736074	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210441/23170_2#2.cram
SAMEA5382978	PRJEB31618	ERR3210442	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210442/ERR3210442_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210442/ERR3210442_2.fastq.gz	793415374;823419995	e40557074c48e7b2677844a1a4fa9afb;cf679de2a32876ba715e0dcc255bff3c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210442/ERR3210442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210442/ERR3210442_2.fastq.gz	30721506	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210442/23170_2#3.cram
SAMEA5382979	PRJEB31618	ERR3210443	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210443/ERR3210443_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210443/ERR3210443_2.fastq.gz	679614946;712626077	bb3c37014cea162309643365c8effdf9;51421661f5d0467ba1b5cec198d1a4ae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210443/ERR3210443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210443/ERR3210443_2.fastq.gz	26297180	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210443/23170_2#4.cram
SAMEA5382980	PRJEB31618	ERR3210444	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210444/ERR3210444_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210444/ERR3210444_2.fastq.gz	473385836;494564333	119384fa43e98d4e7c6624eaa77610bc;379b2fb5a53cf328cf9199f544def7c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210444/ERR3210444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210444/ERR3210444_2.fastq.gz	18717596	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210444/23170_2#5.cram
SAMEA5382975	PRJEB31618	ERR3210445	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210445/ERR3210445_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210445/ERR3210445_2.fastq.gz	717752629;747711156	4c7e72e4fe999d4ea50f70686817dc83;68d00a25d5fb25c1c686298668880508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210445/ERR3210445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210445/ERR3210445_2.fastq.gz	27939852	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210445/23170_2#7.cram
SAMEA5382982	PRJEB31618	ERR3210446	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210446/ERR3210446_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210446/ERR3210446_2.fastq.gz	577922812;595015386	f8c06eb8bb498e683948be0071f00aad;32969afbfc24476511b55c804a52b1e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210446/ERR3210446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210446/ERR3210446_2.fastq.gz	21878590	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210446/23170_2#8.cram
SAMEA5382984	PRJEB31618	ERR3210447	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 2500	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210447/ERR3210447_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210447/ERR3210447_2.fastq.gz	757742457;780381388	c49af37ac5377ab02a85f304335787b7;e255e88e0428b31245cbd9f40ca5a2ce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210447/ERR3210447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210447/ERR3210447_2.fastq.gz	29843884	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210447/23170_2#9.cram
SAMEA5382976	PRJEB31618	ERR3210448	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210448/ERR3210448_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210448/ERR3210448_2.fastq.gz	13035441293;14786867003	3a1475c65be60f89e2df86a3bc5ab545;45656f5748a767dfeb84b303b742005b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210448/ERR3210448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210448/ERR3210448_2.fastq.gz	769871094	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210448/24245_1#1.cram
SAMEA5382977	PRJEB31618	ERR3210449	d9ebcc5c-5c0d-11e7-86e3-68b599768938	ERS3189350	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105005T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210449/ERR3210449_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210449/ERR3210449_2.fastq.gz	12974417090;14246938964	69ed6addf96dba0456f729be042f5c6c;c77ec7596572f989fcb0843da739e6b2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210449/ERR3210449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210449/ERR3210449_2.fastq.gz	724471024	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210449/24245_2#1.cram
SAMEA5382979	PRJEB31618	ERR3210450	d9f8006c-5c0d-11e7-86e3-68b599768938	ERS3189352	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105007V	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210450/ERR3210450_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210450/ERR3210450_2.fastq.gz	13267834082;14594099158	274b5c1776d4b4489011e0cc9bd80362;1b4f7a1c7e13f2ab030c729f8f99bf65	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210450/ERR3210450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210450/ERR3210450_2.fastq.gz	749683320	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210450/24245_3#1.cram
SAMEA5382975	PRJEB31618	ERR3210451	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210451/ERR3210451_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210451/ERR3210451_2.fastq.gz	12930899321;14128941593	4e4e14cc134f78c299e25d807c37c37c;1fef76819b6d629b552428e7c2bf01d2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210451/ERR3210451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210451/ERR3210451_2.fastq.gz	738199216	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210451/24245_4#1.cram
SAMEA5382982	PRJEB31618	ERR3210452	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210452/ERR3210452_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/002/ERR3210452/ERR3210452_2.fastq.gz	13693960105;15023940914	e472ee4460eebc127499e95c6779c34e;3397145b58dea7a720a3332f6ebd49ae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210452/ERR3210452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/002/ERR3210452/ERR3210452_2.fastq.gz	748531382	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210452/24245_5#1.cram
SAMEA5382984	PRJEB31618	ERR3210453	da19d106-5c0d-11e7-86e3-68b599768938	ERS3189357	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105013T	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210453/ERR3210453_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/003/ERR3210453/ERR3210453_2.fastq.gz	12624872318;13614432243	2319173760f523d259f20563b71fffe9;e82f4a1314b42f88bbab796f612c0aab	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210453/ERR3210453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/003/ERR3210453/ERR3210453_2.fastq.gz	749799792	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210453/24245_6#1.cram
SAMEA5382978	PRJEB31618	ERR3210454	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210454/ERR3210454_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/004/ERR3210454/ERR3210454_2.fastq.gz	12896633788;14002788881	5d3f01d8bf8c44d130e8c6bd1661ca0b;457a2800548f6daea7e37cb467b7f505	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210454/ERR3210454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/004/ERR3210454/ERR3210454_2.fastq.gz	744337638	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210454/24354_1#1.cram
SAMEA5382980	PRJEB31618	ERR3210455	d9fd7b82-5c0d-11e7-86e3-68b599768938	ERS3189353	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105008W	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210455/ERR3210455_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/005/ERR3210455/ERR3210455_2.fastq.gz	12651726832;13917952951	87bd387dd852cf80b80fc144d8f5c935;29c29b0e1064a1156997169b76a1269e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210455/ERR3210455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/005/ERR3210455/ERR3210455_2.fastq.gz	774882788	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210455/24354_2#1.cram
SAMEA5382976	PRJEB31618	ERR3210456	d9e2e86c-5c0d-11e7-86e3-68b599768938	ERS3189349	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105004S	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210456/ERR3210456_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/006/ERR3210456/ERR3210456_2.fastq.gz	12889824512;14568343117	54b7c254c58e967937d4d231577e231f;e59077806fdc9cc88411a1420300e3c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210456/ERR3210456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/006/ERR3210456/ERR3210456_2.fastq.gz	779178592	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210456/24551_1.cram
SAMEA5382978	PRJEB31618	ERR3210457	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210457/ERR3210457_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/007/ERR3210457/ERR3210457_2.fastq.gz	13761573356;14834077212	435a0983f59e2477dc6af5b7d6db574c;49c47d25a1aefe140cceadb9726f5127	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210457/ERR3210457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3210457/ERR3210457_2.fastq.gz	790015450	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210457/24551_2.cram
SAMEA5382978	PRJEB31618	ERR3210458	d9f140ba-5c0d-11e7-86e3-68b599768938	ERS3189351	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105006U	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210458/ERR3210458_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/008/ERR3210458/ERR3210458_2.fastq.gz	13788809605;14944089765	d71a93cb87ca58f00255e0668e019f08;75a557aef832482f58c62d2f5c3b6c8e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210458/ERR3210458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/008/ERR3210458/ERR3210458_2.fastq.gz	784244506	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210458/24551_3.cram
SAMEA5382975	PRJEB31618	ERR3210459	da086272-5c0d-11e7-86e3-68b599768938	ERS3189348	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105010Q	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210459/ERR3210459_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/009/ERR3210459/ERR3210459_2.fastq.gz	13440086944;14692554882	6542cb4e11b471c2d97bd90dc3ec85ee;0f41c91d0c3a871840a4aebd4b4e60e7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210459/ERR3210459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/009/ERR3210459/ERR3210459_2.fastq.gz	786289636	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210459/24551_4.cram
SAMEA5382982	PRJEB31618	ERR3210460	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210460/ERR3210460_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/000/ERR3210460/ERR3210460_2.fastq.gz	14196315997;15644151448	ce9abdcf47301280abbd7db05b0abee5;569c52493491992cc6d42ed0b154be4f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210460/ERR3210460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3210460/ERR3210460_2.fastq.gz	796318020	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210460/24551_5.cram
SAMEA5382982	PRJEB31618	ERR3210461	da0e10e6-5c0d-11e7-86e3-68b599768938	ERS3189355	2019-04-16	2019-03-11	Illumina HiSeq 4000	PAIRED	GENOMIC	ILLUMINA	NT1105011R	WGS	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210461/ERR3210461_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR321/001/ERR3210461/ERR3210461_2.fastq.gz	14173197484;15506862056	555ccc5e19a20ab11fcba679ab22df41;8d9e6f749ae0dcd0a1b6752fb8e6f968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210461/ERR3210461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/001/ERR3210461/ERR3210461_2.fastq.gz	795861380	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR3210461/24551_6.cram
